#bjd model_rvs
2456581.8126 -84.06213395349772
2456582.0126 -82.07515430397842
2456582.2126 -75.37573163484278
2456582.4126000004 -64.58380474850739
2456582.6126000006 -50.66659560841609
2456582.8126000008 -34.84653556803082
2456583.012600001 -18.49319487890281
2456583.212600001 -3.008861874889458
2456583.4126000013 10.284154965627579
2456583.6126000015 20.24800380951253
2456583.8126000017 26.020103939351472
2456584.012600002 27.08524371830065
2456584.212600002 23.32383631128338
2456584.4126000023 15.031172696405395
2456584.6126000024 2.903148736781695
2456584.8126000026 -12.014177202112723
2456585.012600003 -28.410454163826525
2456585.212600003 -44.826960250583575
2456585.412600003 -59.79217007048422
2456585.6126000034 -71.96241795492124
2456585.8126000036 -80.25115060632115
2456586.0126000037 -83.93129783265425
2456586.212600004 -82.6992434210504
2456586.412600004 -76.69477580089483
2456586.6126000043 -66.47772843310379
2456586.8126000045 -52.96730700864306
2456587.0126000047 -37.353403886498796
2456587.212600005 -20.99032924999537
2456587.412600005 -5.2827993458792974
2456587.612600005 8.427485217401575
2456587.8126000054 18.967955079744563
2456588.0126000056 25.42842197237351
2456588.212600006 27.236388023859128
2456588.412600006 24.209312301928918
2456588.612600006 16.578652021578996
2456588.8126000063 4.980988126105224
2456589.0126000065 -9.58679433136271
2456589.2126000067 -25.8481450990185
2456589.412600007 -42.358698229441046
2456589.612600007 -57.639677905995015
2456589.8126000073 -70.31883553512887
2456590.0126000075 -79.26252936307726
2456590.2126000077 -83.68311270365804
2456590.412600008 -83.2093442697822
2456590.612600008 -77.91322356496336
2456590.812600008 -68.29302177292297
2456591.0126000084 -55.217805210734454
2456591.2126000086 -39.84238863765394
2456591.412600009 -23.503103121177393
2456591.612600009 -7.604391031652039
2456591.812600009 6.495181186608555
2456592.0126000093 17.590547031113637
2456592.2126000095 24.725705913260825
2456592.4126000097 27.272122990375532
2456592.61260001 24.984882551399604
2456592.81260001 18.031403902782834
2456593.0126000103 6.987890620227855
2456593.2126000104 -7.199866043246171
2456593.4126000106 -23.291787024611075
2456593.612600011 -39.86105265592623
2456593.812600011 -55.42501038515469
