#time nev avnev sigma he_nev he_avnev he_sigma
239859818.0000 136.0 167.08764 -2.431326 6.0 12.475148 -1.811118 
240464618.0000 140.0 195.23054 -4.11289 13.0 14.170962 -0.134652 
241069418.0000 251.0 250.11381 0.0981028 18.0 17.761428 0.2135801 
241674218.0000 214.0 252.78242 -2.462024 28.0 18.479658 2.1932752 
242279018.0000 179.0 239.62435 -4.05499 15.0 17.521843 -0.451843 
242883818.0000 228.0 251.85568 -1.484687 12.0 18.512441 -1.444002 
243488618.0000 198.0 246.55743 -3.15806 9.0 17.545053 -2.061459 
244093418.0000 184.0 206.11949 -1.521581 7.0 14.865027 -2.065171 
244698218.0000 192.0 185.01738 0.5586398 5.0 13.573901 -2.439328 
245303018.0000 266.0 225.55972 2.6599652 23.0 16.019205 1.7853615 
245907818.0000 227.0 268.59664 -2.565538 11.0 18.883337 -1.791237 
246512618.0000 245.0 250.66807 -0.316984 14.0 18.338552 -0.889975 
247117418.0000 193.0 243.85067 -3.33504 15.0 17.787136 -0.513865 
247722218.0000 253.0 259.57986 -0.368459 21.0 18.761224 0.6555868 
248327018.0000 329.0 236.56068 5.7106905 31.0 16.850366 3.2166912 
248931818.0000 403.0 187.8995 13.632754 48.0 13.740352 7.3028545 
249536618.0000 443.0 191.74363 15.510969 79.0 14.035381 12.064516 
250141418.0000 497.0 242.56054 14.322783 93.0 17.205364 12.832734 
250746218.0000 447.0 257.69812 10.702192 47.0 18.533676 5.6427831 
251351018.0000 456.0 244.68667 12.08136 52.0 17.992038 6.6219406 
251955818.0000 364.0 241.12928 7.3908 37.0 17.742418 4.1105275 
252560618.0000 341.0 274.01431 3.9343535 28.0 19.435394 1.9566439 
253165418.0000 261.0 219.55014 2.758419 25.0 15.668926 2.3135874 
253770218.0000 280.0 185.74044 6.4718904 39.0 13.771731 5.6745405 
254375018.0000 290.0 200.94728 5.9295129 31.0 14.426937 3.9175195 
254979818.0000 355.0 253.07254 6.0743436 57.0 17.873888 7.4556555 
255584618.0000 381.0 258.97122 7.1176991 62.0 19.08185 7.8704199 
256189418.0000 411.0 242.1398 9.8946476 42.0 17.605543 5.0458025 
256794218.0000 579.0 258.85058 17.119039 86.0 18.964736 11.318313 
257399018.0000 426.0 236.17254 11.123274 63.0 16.774389 8.7266511 
258003818.0000 283.0 200.5216 5.5237684 45.0 14.583398 6.4933362 
258608618.0000 49.0 54.118209 -0.613988 6.0 4.0143971 1.2150185 
259213418.0000 198.0 233.98083 -2.371022 10.0 16.605157 -1.563427 
259818218.0000 196.0 253.38473 -3.71072 12.0 17.889312 -1.305765 
260423018.0000 184.0 252.9767 -4.514382 16.0 18.39764 -0.410529 
261027818.0000 201.0 247.19183 -2.992437 9.0 17.916055 -2.142048 
261632618.0000 213.0 267.41378 -3.407624 9.0 19.09222 -2.390745 
