# Date		Value	Pos.E	Neg.E
12/16/20	72.1	2	2
12/15/20	73.2	1.3	1.3
12/4/20		73.5	5.3	5.3
11/25/20	71.8	3.9	3.3
9/29/20		67.6	4.3	4.2
6/18/20		75.8	5.2	4.9
2/26/20		73.9	3	3
10/14/19	74.2	2.7	3
9/12/19		76.8	2.6	2.6
8/20/19		73.3	1.36	1.35
8/15/19		73.5	1.4	1.4
7/16/19		69.8	1.9	1.9
7/10/19		73.3	1.7	1.8
7/8/19		70.3	5.3	5
3/28/19		68	4.2	4.1
3/18/19		74.03	1.42	1.42
2/8/19		67.78	0.91	0.87
11/6/18		67.77	1.3	1.3
9/5/18		72.5	2.1	2.3
7/18/18		67.66	0.42	0.42
4/27/18		73.52	1.62	1.62
2/22/18		73.45	1.66	1.66
10/16/17	70	12	8
11/22/16	71.9	2.4	3
8/4/16		76.2	3.4	2.7
7/13/16		67.6	0.7	0.6
5/17/16		73.24	1.74	1.74
2/1/15		67.74	0.46	0.46
10/1/13		74.4	3	3
3/21/13		67.8	0.77	0.77
12/20/12	69.32	0.8	0.8
1/1/10		70.4	1.3	1.4
1/1/10		71	2.5	2.5
2/1/09		70.5	1.3	1.3
2/1/09		71.9	2.6	2.7
1/1/07		70.4	1.5	1.6
8/1/06		76.9	10.7	8.7
5/1/01		72	8	8
