#time nev avnev sigma he_nev he_avnev he_sigma
239859818.0000 103.0 100.63939 0.3003695 2.0 1.0085096 1.3925807 
240464618.0000 97.0 109.38201 -1.141402 2.0 0.974639 1.4346308 
241069418.0000 116.0 101.16851 1.5042084 1.0 0.8491069 0.8100422 
241674218.0000 60.0 71.544426 -1.321406 2.0 0.7185524 1.7936123 
242279018.0000 58.0 58.9262 -0.033806 0.0 0.5702492 0.1646353 
242883818.0000 70.0 81.683868 -1.2485 0.0 0.7958917 -0.122683 
243488618.0000 95.0 108.21183 -1.230803 0.0 0.9007748 -0.237189 
244093418.0000 90.0 108.31879 -1.746064 0.0 1.0429623 -0.378824 
244698218.0000 93.0 105.5399 -1.178809 1.0 1.0455794 0.5798639 
245303018.0000 108.0 114.47873 -0.548027 0.0 0.9556104 -0.29348 
245907818.0000 138.0 95.862564 4.0962405 0.0 0.8544226 -0.187769 
246512618.0000 68.0 62.998699 0.7041081 0.0 0.6097369 0.1092397 
247117418.0000 66.0 63.784618 0.3583845 0.0 0.6155536 0.1012944 
247722218.0000 91.0 98.956398 -0.742288 0.0 0.882632 -0.218056 
248327018.0000 106.0 115.35903 -0.819992 0.0 0.9861174 -0.323859 
248931818.0000 106.0 113.17918 -0.618317 0.0 1.1528843 -0.479687 
249536618.0000 97.0 114.487 -1.613489 1.0 1.0832225 0.5393489 
250141418.0000 132.0 114.08689 1.695608 1.0 0.9325423 0.7080911 
250746218.0000 77.0 79.7966 -0.239566 0.0 0.7744036 -0.097968 
251351018.0000 62.0 61.12585 0.1963864 0.0 0.573831 0.1595012 
251955818.0000 60.0 75.915786 -1.815013 1.0 0.7441294 0.9491161 
252560618.0000 104.0 103.29572 0.1346473 1.0 0.8950911 0.7530099 
253165418.0000 97.0 116.30584 -1.778333 1.0 1.079153 0.5436805 
253770218.0000 103.0 109.04632 -0.519612 0.0 1.0716358 -0.405791 
254375018.0000 124.0 113.67105 1.0155801 1.0 1.017717 0.6105205 
254979818.0000 113.0 100.45238 1.2913669 0.0 0.8701384 -0.204724 
255584618.0000 78.0 65.33448 1.5982432 1.0 0.6593579 1.0722324 
256189418.0000 64.0 63.087604 0.1981081 1.0 0.6238498 1.1272635 
256794218.0000 74.0 90.393119 -1.706485 0.0 0.8409023 -0.173011 
257399018.0000 92.0 113.70131 -2.039265 2.0 0.9210489 1.5034059 
258003818.0000 100.0 110.54235 -0.954067 2.0 1.0959576 1.2885862 
258608618.0000 30.0 34.0158 -0.584467 0.0 0.3326672 0.5739781 
259213418.0000 108.0 110.19055 -0.145527 2.0 0.9224501 1.5015708 
259818218.0000 76.0 85.97512 -1.023214 1.0 0.8247037 0.8412139 
260423018.0000 62.0 60.052455 0.3351327 0.0 0.5703558 0.1644821 
261027818.0000 90.0 68.96627 2.492243 0.0 0.6370725 0.07235 
261632618.0000 123.0 105.81747 1.6899355 0.0 0.8952458 -0.231386 
262237418.0000 128.0 118.11268 0.9573867 1.0 1.0171042 0.6112014 
262842218.0000 131.0 103.07687 2.6995217 2.0 1.0286922 1.3680129 
263447018.0000 108.0 104.37331 0.4175373 1.0 1.0001481 0.6301578 
264051818.0000 92.0 102.5856 -0.996033 0.0 0.9239068 -0.26121 
264656618.0000 55.0 72.994636 -2.118485 0.0 0.7396836 -0.057019 
265261418.0000 59.0 56.779716 0.3801709 0.0 0.5475054 0.1977784 
265866218.0000 72.0 77.621948 -0.56877 0.0 0.7764562 -0.100349 
266471018.0000 106.0 110.36296 -0.353913 1.0 0.9133481 0.7309483 
267075818.0000 111.0 110.5974 0.1015537 1.0 1.0353726 0.5910265 
267680618.0000 100.0 108.32664 -0.74509 1.0 1.0743447 0.5488134 
268285418.0000 125.0 118.97359 0.6081496 2.0 1.0245659 1.3730069 
268890218.0000 103.0 95.675689 0.8062039 0.0 0.8426946 -0.174977 
269495018.0000 54.0 60.881385 -0.810998 0.0 0.5812417 0.1489501 
270099818.0000 64.0 54.855892 1.2884436 1.0 0.5262888 1.2914226 
270704618.0000 81.0 86.247856 -0.497898 1.0 0.7938426 0.8816012 
271309418.0000 122.0 110.26234 1.1604148 1.0 0.979084 0.6540272 
271914218.0000 68.0 94.983673 -2.84307 0.0 0.8815622 -0.216919 
272519018.0000 79.0 102.45629 -2.344514 2.0 0.942451 1.4755958 
273123818.0000 105.0 100.33297 0.5280271 2.0 0.8752806 1.5645135 
273728618.0000 70.0 68.117553 0.3071173 0.0 0.5821042 0.1477283 
274333418.0000 68.0 59.655723 1.1395168 0.0 0.51432 0.2479333 
274938218.0000 56.0 58.252948 -0.208845 1.0 0.4791524 1.3789897 
275543018.0000 69.0 67.741424 0.2329478 0.0 0.7223492 -0.036077 
276147818.0000 63.0 71.950485 -0.996672 0.0 0.674804 0.0232039 
276752618.0000 61.0 78.888801 -2.017669 0.0 0.6170585 0.0992474 
277357418.0000 83.0 79.3572 0.4796667 1.0 0.7235056 0.9780873 
277962218.0000 102.0 78.892402 2.5574944 0.0 0.8272221 -0.157914 
278567018.0000 54.0 57.113918 -0.326292 1.0 0.4395305 1.4577511 
279171818.0000 63.0 58.314975 0.690833 1.0 0.4654378 1.4056772 
279776618.0000 66.0 61.739864 0.61925 0.0 0.5233147 0.2341174 
280381418.0000 87.0 84.663414 0.3246219 0.0 0.9147081 -0.251707 
280986218.0000 86.0 85.45475 0.1308589 0.0 0.6932398 -0.000116 
281591018.0000 74.0 81.592102 -0.778195 0.0 0.6528813 0.0515182 
282195818.0000 92.0 93.49324 -0.085614 2.0 0.9514986 1.4639786 
282800618.0000 85.0 75.044212 1.1993029 0.0 0.6600093 0.0422405 
283405418.0000 66.0 65.063797 0.1980257 1.0 0.5569321 1.2375918 
284010218.0000 75.0 64.830062 1.3113132 2.0 0.5647612 2.0583696 
284615018.0000 67.0 71.556671 -0.464275 0.0 0.6971828 -0.005047 
285219818.0000 80.0 85.194435 -0.495129 0.0 0.8560301 -0.189513 
285824618.0000 84.0 88.202041 -0.379095 1.0 0.7724344 0.9102887 
286429418.0000 82.0 82.859024 -0.021121 0.0 0.7381565 -0.055188 
287034218.0000 102.0 88.281921 1.4924298 0.0 0.9085325 -0.245291 
287639018.0000 55.0 63.461757 -1.000072 0.0 0.5362253 0.2145787 
288243818.0000 59.0 62.497528 -0.360964 1.0 0.5534472 1.2436009 
288848618.0000 76.0 64.366821 1.4883917 0.0 0.5261906 0.2297356 
289453418.0000 65.0 84.582153 -2.142362 1.0 0.9301548 0.7109159 
290058218.0000 71.0 77.239059 -0.642122 1.0 0.7038662 1.0062401 
290663018.0000 98.0 76.650032 2.4075915 0.0 0.59581 0.1284812 
291267818.0000 64.0 78.195022 -1.578106 1.0 0.7539584 0.9355136 
291872618.0000 67.0 73.035537 -0.636388 1.0 0.7579429 0.930036 
292477418.0000 140.0 95.496704 4.3161721 0.0 0.7381638 -0.055196 
293082218.0000 89.0 59.898101 3.5811963 0.0 0.473534 0.312836 
293687018.0000 91.0 64.828552 3.1368188 2.0 0.564279 2.0592813 
294291818.0000 81.0 94.188438 -1.320929 0.0 0.9617526 -0.299649 
294896618.0000 98.0 85.613067 1.3774629 1.0 0.6874127 1.0302703 
295501418.0000 76.0 84.676376 -0.885007 0.0 0.667432 0.0326529 
296106218.0000 98.0 97.206405 0.1478028 3.0 0.9545285 2.1363384 
296711018.0000 66.0 67.241958 -0.07025 0.0 0.6106742 0.1079558 
297315818.0000 57.0 60.459041 -0.362069 0.0 0.5089666 0.2562379 
297920618.0000 50.0 61.885921 -1.473575 0.0 0.5105447 0.2537834 
298525418.0000 68.0 69.678131 -0.12148 2.0 0.7038688 1.8169292 
299130218.0000 77.0 80.887664 -0.360653 1.0 0.7944847 0.8807494 
299735018.0000 99.0 77.459503 2.4158809 0.0 0.6039484 0.1171992 
300339818.0000 70.0 76.764038 -0.705696 1.0 0.675003 1.0486742 
300944618.0000 62.0 78.963233 -1.903893 1.0 0.8614827 0.7944793 
301549418.0000 64.0 58.944946 0.7340231 0.0 0.4745284 0.311207 
302154218.0000 65.0 63.111965 0.3196172 0.0 0.5560175 0.1852625 
302759018.0000 67.0 60.99538 0.8396953 1.0 0.4953826 1.348138 
303363818.0000 85.0 80.028564 0.6232879 3.0 0.870665 2.255249 
303968618.0000 75.0 77.239112 -0.179567 0.0 0.6667696 0.0335054 
304573418.0000 80.0 77.688354 0.3359226 0.0 0.6054681 0.1151045 
305178218.0000 74.0 80.199768 -0.625362 0.0 0.7998409 -0.127176 
305783018.0000 62.0 65.72258 -0.380056 1.0 0.6571092 1.0756522 
306387818.0000 56.0 60.679733 -0.521219 0.0 0.5006131 0.2693215 
306992618.0000 136.0 110.78649 2.3718724 2.0 1.2158144 1.1554144 
307597418.0000 58.0 66.489616 -0.979587 3.0 0.6285026 2.6559827 
308202218.0000 76.0 84.971069 -0.91649 0.0 0.9013684 -0.237811 
308807018.0000 79.0 78.473831 0.1343897 0.0 0.6211814 0.0936571 
309411818.0000 107.0 76.835815 3.3153605 6.0 0.6173588 4.4672985 
310016618.0000 99.0 87.440422 1.2790588 3.0 0.9407783 2.1552822 
310621418.0000 60.0 62.80957 -0.27203 2.0 0.5374732 2.1109328 
311226218.0000 50.0 57.353183 -0.901386 0.0 0.4884598 0.2886376 
311831018.0000 53.0 63.136241 -1.22414 0.0 0.5280077 0.2269759 
312435818.0000 68.0 80.111534 -1.311568 1.0 0.7863724 0.8915472 
313040618.0000 70.0 87.525337 -1.86571 2.0 0.7727891 1.7104609 
313645418.0000 74.0 89.82283 -1.648184 0.0 0.7185326 -0.03142 
314250218.0000 88.0 90.298339 -0.17226 2.0 0.7926065 1.6811649 
314855018.0000 92.0 84.200904 0.908046 2.0 0.7915786 1.682671 
315459818.0000 55.0 44.961681 1.5395761 1.0 0.4057514 1.5292544 
316064618.0000 53.0 61.167484 -0.980177 1.0 0.5451241 1.2580674 
316669418.0000 64.0 69.965141 -0.641935 0.0 0.6325436 0.0783842 
317274218.0000 92.0 87.078865 0.5927696 2.0 0.8569629 1.589632 
317879018.0000 85.0 88.983543 -0.353928 1.0 0.7603242 0.9267724 
318483818.0000 73.0 89.932106 -1.771806 0.0 0.7568658 -0.077445 
319088618.0000 101.0 89.73648 1.2333043 1.0 0.8546555 0.8030447 
319693418.0000 86.0 71.512657 1.7343328 2.0 0.6697885 1.8724902 
320298218.0000 61.0 57.883171 0.4922914 2.0 0.4906868 2.206016 
320903018.0000 70.0 60.962497 1.2124483 1.0 0.5161618 1.3097257 
321507818.0000 63.0 68.178123 -0.552775 0.0 0.6624287 0.0391072 
