#time nev avnev sigma he_nev he_avnev he_sigma
239859818.0000 2703.0 2710.3161 -0.127779 727.0 723.29528 0.1623835 
240464618.0000 2724.0 2680.3588 0.8534913 728.0 739.36663 -0.394476 
241069418.0000 2720.0 2645.4533 1.4554938 709.0 737.58599 -1.034643 
241674218.0000 2613.0 2593.9245 0.3871399 725.0 700.63385 0.9402118 
242279018.0000 3106.0 3260.3796 -2.713611 850.0 869.29644 -0.63416 
242883818.0000 3717.0 3803.8569 -1.402819 1004.0 1024.0485 -0.607613 
243488618.0000 3726.0 3700.312 0.4327383 946.0 995.44848 -1.559075 
244093418.0000 3185.0 3163.5173 0.393344 833.0 843.39306 -0.335574 
244698218.0000 2697.0 2631.1604 1.2911588 721.0 712.89508 0.327865 
245303018.0000 2582.0 2597.6147 -0.293577 723.0 730.703 -0.260728 
245907818.0000 2468.0 2522.3081 -1.071906 695.0 705.99517 -0.389687 
246512618.0000 2792.0 2820.1892 -0.519114 726.0 756.14782 -1.079236 
247117418.0000 3405.0 3485.6516 -1.360016 922.0 927.60766 -0.162378 
247722218.0000 3766.0 3834.8813 -1.104841 1009.0 1032.8735 -0.724841 
248327018.0000 3516.0 3560.9484 -0.743618 878.0 949.07183 -2.314599 
248931818.0000 2931.0 2935.9782 -0.079592 798.0 779.12402 0.697261 
249536618.0000 2656.0 2621.2729 0.689767 718.0 720.86596 -0.081957 
250141418.0000 2535.0 2606.4028 -1.391901 691.0 730.74926 -1.459009 
250746218.0000 2536.0 2582.8906 -0.912265 745.0 708.50616 1.3841878 
251351018.0000 3191.0 3113.8481 1.3888121 818.0 828.94592 -0.357778 
251955818.0000 3554.0 3509.435 0.7618989 969.0 934.73022 1.1357319 
252560618.0000 3798.0 3886.3896 -1.412504 1082.0 1047.2171 1.0893816 
253165418.0000 3332.0 3373.3652 -0.702148 908.0 893.22314 0.5152717 
253770218.0000 2657.0 2725.718 -1.30895 759.0 724.65588 1.2903575 
254375018.0000 2718.0 2735.8815 -0.329468 799.0 758.34124 1.4873944 
254979818.0000 2662.0 2694.7766 -0.619793 783.0 751.75262 1.1559253 
255584618.0000 2706.0 2794.4426 -1.669285 758.0 765.92987 -0.262867 
256189418.0000 3387.0 3270.9638 2.0285935 901.0 872.58978 0.9789731 
256794218.0000 3678.0 3653.5573 0.4149372 977.0 988.79473 -0.354565 
257399018.0000 3555.0 3575.2668 -0.3281 961.0 953.28619 0.271041 
258003818.0000 3008.0 3034.1179 -0.462704 823.0 800.63012 0.810314 
258608618.0000 795.0 798.01336 -0.083114 221.0 217.51068 0.280946 
259213418.0000 2721.0 2699.1513 0.432778 739.0 755.26239 -0.569477 
259818218.0000 2615.0 2710.6047 -1.834329 738.0 742.19561 -0.129642 
260423018.0000 2949.0 3030.4282 -1.473677 839.0 810.41253 1.0215672 
261027818.0000 3461.0 3550.2165 -1.492397 903.0 954.97576 -1.675605 
261632618.0000 3778.0 3756.0109 0.3692999 1000.0 1017.3964 -0.525962 
262237418.0000 3439.0 3452.8056 -0.223743 941.0 924.97515 0.5472 
